"inc_id","date_inc","incident_type","description","location_city","location_state","injury_flag","total_cost","is_preventabe","fullname","years_experience","distance_of_trip","truck_oem","year_constr"
"INC00000001","09/04/2023 14:00:00","Moving Violation","Severe incident involving equipment","Columbus","PA","False",12629.26,"True","Robert Taylor","23",2655,"Kenworth","2017"
"INC00000002","19/02/2023 11:00:00","Moving Violation","Severe incident involving weather","Columbus","NC","False",16984.94,"False","Robert Taylor","23",1879,"Freightliner","2015"
"INC00000003","20/05/2024 01:00:00","Customer Complaint","Minor incident involving traffic","Seattle","OK","False",24302.32,"True","Jennifer Wilson","6",95,"Volvo","2017"
"INC00000004","26/09/2023 03:00:00","Equipment Damage","Moderate incident involving equipment","Kansas City","TN","False",4879.13,"True","Linda Moore","18",1271,"Kenworth","2015"
"INC00000005","20/03/2024 14:00:00","DOT Violation","Minor incident involving other driver","Las Vegas","IN","False",14951.4,"False","Mary Wilson","9",2077,"International","2015"
"INC00000006","27/02/2022 18:00:00","Equipment Damage","Minor incident involving weather","Oklahoma City","CO","True",0.0,"False","Mary Martinez","12",2205,"Volvo","2019"
"INC00000007","13/06/2022 02:00:00","DOT Violation","Moderate incident involving traffic","Portland","TX","False",40904.21,"True","Joseph Davis","11",677,"Volvo","2019"
"INC00000008","17/07/2024 20:00:00","Accident","Moderate incident involving equipment","Phoenix","TX","False",15572.01,"False","Jessica Thomas","6",2363,"Peterbilt","2015"
"INC00000009","08/07/2023 02:00:00","Customer Complaint","Moderate incident involving traffic","Oklahoma City","TX","True",22662.27,"False","Charles Hernandez","19",1323,"Mack","2017"
"INC00000010","03/06/2024 04:00:00","Equipment Damage","Severe incident involving equipment","Detroit","PA","False",33901.9,"False","Patricia Gonzalez","24",2434,"Volvo","2015"
"INC00000011","18/10/2022 02:00:00","Equipment Damage","Severe incident involving weather","Milwaukee","NE","False",18252.77,"True","Karen Martin","2",2078,"Volvo","2019"
"INC00000012","16/09/2023 03:00:00","Customer Complaint","Severe incident involving equipment","Omaha","AZ","False",0.0,"True","Richard Garcia","20",794,"Volvo","2019"
"INC00000013","16/12/2023 18:00:00","Customer Complaint","Moderate incident involving equipment","Indianapolis","TX","True",0.0,"True","Richard Hernandez","23",2419,"International","2015"
"INC00000014","10/08/2023 17:00:00","DOT Violation","Minor incident involving weather","Portland","TN","False",0.0,"False","Mary Williams","21",814,"Mack","2015"
"INC00000015","08/07/2023 02:00:00","Accident","Moderate incident involving traffic","Atlanta","TN","False",4497.67,"True","David Miller","14",1256,"International","2021"
"INC00000016","07/03/2023 03:00:00","DOT Violation","Moderate incident involving weather","Chicago","AZ","False",3082.44,"False","Patricia Moore","4",2514,"Freightliner","2015"
"INC00000017","05/10/2024 04:00:00","Customer Complaint","Severe incident involving equipment","Salt Lake City","NY","True",0.0,"True","Elizabeth Rodriguez","11",1629,"Volvo","2019"
"INC00000018","27/10/2023 13:00:00","DOT Violation","Severe incident involving weather","Miami","WI","True",9695.95,"True","Patricia Gonzalez","24",1520,"International","2015"
"INC00000019","05/04/2024 09:00:00","Accident","Severe incident involving traffic","Miami","TN","False",5672.35,"True","Jennifer Wilson","6",2382,"Kenworth","2015"
"INC00000020","11/03/2022 09:00:00","Accident","Moderate incident involving weather","Milwaukee","WI","False",12824.5,"False","James Wilson","12",819,"Volvo","2015"
"INC00000021","06/01/2023 04:00:00","Moving Violation","Minor incident involving other driver","Portland","AZ","False",0.0,"True","William Wilson","18",791,"Freightliner","2015"
"INC00000022","20/01/2023 04:00:00","Accident","Minor incident involving traffic","Houston","NY","False",19400.81,"True","David Miller","14",2848,"International","2018"
"INC00000023","25/03/2022 12:00:00","Accident","Minor incident involving equipment","Detroit","OH","False",44045.08,"False","Jessica Davis","22",1552,"Mack","2015"
"INC00000024","30/07/2022 12:00:00","Customer Complaint","Moderate incident involving traffic","Charlotte","PA","False",2870.01,"False","Thomas Jackson","23",170,"International","2019"
"INC00000025","07/08/2024 10:00:00","Equipment Damage","Moderate incident involving weather","Memphis","PA","True",22117.89,"False","William Martin","20",277,"Freightliner","2018"
"INC00000026","08/04/2024 06:00:00","DOT Violation","Minor incident involving traffic","Los Angeles","CO","True",18303.46,"False","William Williams","23",260,"Peterbilt","2015"
"INC00000027","12/06/2022 10:00:00","Customer Complaint","Minor incident involving equipment","Phoenix","GA","False",15639.35,"True","Richard Hernandez","23",2627,"Volvo","2018"
"INC00000028","13/10/2024 16:00:00","Customer Complaint","Minor incident involving other driver","Portland","MO","False",10006.92,"False","Barbara Brown","19",1988,"Freightliner","2016"
"INC00000029","12/09/2022 03:00:00","Equipment Damage","Severe incident involving other driver","Los Angeles","FL","True",30722.63,"False","William Garcia","13",1988,"International","2015"
"INC00000030","28/02/2023 03:00:00","Customer Complaint","Severe incident involving traffic","Dallas","TN","False",3783.54,"False","Thomas Martinez","10",1590,"Volvo","2015"
"INC00000031","27/10/2023 02:00:00","Equipment Damage","Severe incident involving weather","Minneapolis","IN","False",23296.79,"False","Linda Jones","20",882,"Volvo","2015"
"INC00000032","27/05/2024 06:00:00","Accident","Severe incident involving other driver","Philadelphia","WA","False",24614.16,"False","Joseph Garcia","16",1300,"Kenworth","2015"
"INC00000033","28/07/2022 12:00:00","DOT Violation","Minor incident involving equipment","Seattle","TX","False",25810.3,"True","Michael Martinez","15",2488,"Volvo","2015"
"INC00000034","29/09/2022 10:00:00","DOT Violation","Minor incident involving other driver","Chicago","PA","False",64245.72,"False","Richard Miller","11",1539,"Freightliner","2015"
"INC00000035","10/09/2022 06:00:00","Equipment Damage","Severe incident involving equipment","New York","TN","False",19624.96,"False","Robert Taylor","23",2373,"International","2021"
"INC00000036","27/01/2023 16:00:00","DOT Violation","Minor incident involving equipment","New York","NC","False",22477.63,"False","Michael Martinez","15",1104,"Volvo","2016"
"INC00000037","04/07/2023 01:00:00","Customer Complaint","Severe incident involving traffic","Miami","WI","False",22667.73,"False","Jennifer Hernandez","3",263,"Kenworth","2018"
"INC00000038","19/10/2022 12:00:00","Accident","Moderate incident involving traffic","Chicago","MO","True",0.0,"False","Robert Johnson","11",664,"Volvo","2015"
"INC00000039","05/11/2024 23:00:00","Customer Complaint","Moderate incident involving equipment","Charlotte","CA","False",13801.55,"True","Patricia Martin","5",92,"Volvo","2016"
"INC00000040","27/09/2022 07:00:00","Customer Complaint","Moderate incident involving equipment","Denver","CO","True",19633.39,"False","John Thomas","7",95,"Mack","2015"
"INC00000041","19/07/2023 19:00:00","Customer Complaint","Moderate incident involving weather","Minneapolis","NC","False",35059.74,"False","Jennifer Martinez","15",748,"Peterbilt","2015"
